,2014,activ,allow,also,analysi,analyst,annot,approach,assist,automat,avail,barrier,build,built,can,check,complex,complic,correct,current,data,databas,decomposit,describ,desir,discoveri,domain,editor
1,0.0238466388082578,0.00990316420186514,0.0138834438153787,0.012186908741284,0.0285775498639844,0.0256761352994838,0.0842614135774387,0.00963254038373764,0.0266954214261632,0.0162048287882364,0.0171848016584317,0.0499351961498603,0.0401470463761786,0.0300680665087838,0.00519801509004784,0.0160230747946344,0.012868399593279,0.0292638173371168,0.0233618214777521,0.0156292925664516,0.0609519876749025,0.021224800622336,0.0319864267171685,0.0142660586556744,0.0276629561200775,0.0184947523905202,0.0633821920947063,0.0415491511724997
2,0,0,0,0,0.0150032136785918,0,0,0.0101141674029245,0,0,0,0,0,0,0,0,0,0,0,0,0.0106665978431079,0.0445720813069056,0,0,0,0,0,0
3,0,0,0,0,0.0142135708534028,0,0,0.0383273712110824,0,0.0322390804313335,0,0,0,0,0,0,0,0.0582195944917377,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0.0166702374206576,0,0,0.044951855124109,0,0.0378112671725516,0,0,0,0,0,0,0,0.0682822404532726,0,0,0,0,0,0,0,0.0431544222445471,0,0
5,0,0,0.0316141070012839,0,0.0325370899053798,0,0,0.032901508419152,0,0,0,0,0,0,0,0,0.0586054824850536,0,0,0,0,0,0,0,0,0.0210572783241465,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218316633782009,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0.0385917120443817,0,0,0,0,0,0.0281528371009239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0623240685520087,0,0,0,0,0
8,0.0459899462730685,0.038197919064337,0,0,0,0,0,0.00928852108431844,0,0,0,0,0,0,0.0100247433879494,0,0,0,0,0,0.0195917103240758,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0.0123010144089623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0.0255925083566964,0.0150032136785918,0,0,0.0303425022087736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0.0270057846214653,0,0,0,0,0,0,0,0,0,0.0130989980269206,0,0.032428366975063,0,0,0,0.00639995870586476,0,0.0806057953272646,0,0,0,0,0
12,0,0.0158618477470552,0,0.019519709763582,0,0,0,0.0154283909536137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0.0242960266769126,0,0.0125026780654932,0,0,0,0,0.0283584503794137,0,0,0,0,0.00909652640758372,0.0280403808906102,0,0,0,0,0,0,0,0.0499312052948603,0,0.0485487250251155,0.027729709041434,0
14,0,0.0189060407490153,0,0,0,0,0,0.00919469763902229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0.0135861950188538,0,0,0,0,0,0,0.0146630574928215,0,0,0,0.0659012576014201,0,0,0,0,0,0,0,0.0446986354697742,0
16,0,0,0,0.0377594385590603,0.0221358890339879,0,0,0,0,0,0.0532447133351408,0,0,0,0,0,0,0,0,0.0484251851649073,0,0,0,0,0,0.0859551197165979,0,0
17,0,0,0,0,0.0142135708534028,0,0,0,0,0,0,0,0,0,0.0206826284635588,0,0,0,0,0.0310940662637826,0.111157177522914,0,0,0,0,0.0183974115884648,0.094572902414996,0
18,0,0,0.034525932646139,0,0,0,0,0,0,0,0,0,0,0,0.0129266427897242,0,0,0,0,0,0.0505259897831429,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0.0282255834500219,0,0.0474839169143671,0,0,0,0,0.0076156965272794,0,0,0,0,0,0.00744181244867996,0,0,0,0,0,0.0464311407205407,0
20,0,0,0,0,0.0241123076977368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
